what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1467077930733
java.runtime.version,sysinfo,,,"1.8.0_92-b14",1467077930733
java.specification.name,sysinfo,,,"Java Platform API Specification",1467077930733
java.specification.vendor,sysinfo,,,"Oracle Corporation",1467077930733
java.specification.version,sysinfo,,,"1.8",1467077930733
java.vendor,sysinfo,,,"Oracle Corporation",1467077930733
java.version,sysinfo,,,"1.8.0_92",1467077930733
java.vm.info,sysinfo,,,"mixed mode",1467077930733
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1467077930733
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1467077930733
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1467077930733
java.vm.specification.version,sysinfo,,,"1.8",1467077930733
java.vm.vendor,sysinfo,,,"Oracle Corporation",1467077930733
java.vm.version,sysinfo,,,"25.92-b14",1467077930733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467077932195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467077935080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467077970664
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1467077993353
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1467077993414
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1467078042498
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1467078042554
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1467078042602
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1467078042611
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1467078042943
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1467078042957
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1467078042993
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1467078043064
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1467078043146
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1467078043168
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1467078043233
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1467078043334
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1467078043770
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1467078043797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078056562
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1467078057731
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1467078057757
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1467078057772
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467078057959
